January 	1 	In 1959, Fidel Castro led Cuban revolutionaries to victory over Fulgencio Batista.
March 	6 	In 1857, in its Dred Scott decision, the Supreme Court held that Scott, a slave, could not sue for his freedom in a federal court.
March 	7 	In 1965, a march by civil rights demonstrators was broken up in Selma, Ala., by state troopers and a sheriff’s posse.
March 	8 	In 1917, Russia’s February Revolution (so called because of the Old Style calendar used by Russians at the time) began with rioting and strikes in St. Petersburg.
March 	9 	In 1862, during the Civil War, the ironclads Monitor and Virginia (formerly Merrimac) clashed for five hours to a draw at Hampton Roads, Va.
March 	10 	In 1985, Konstantin U. Chernenko, Soviet leader for just 13 months, died at age 73. His death was announced on March 11th. Politburo member Mikhail S. Gorbachev was chosen to succeed him.
March 	11 	In 1941, President Roosevelt signed into law the Lend-Lease Bill, providing war supplies to countries fighting the Axis.
March 	12 	In 1947, President Truman established what became known as the Truman Doctrine to help Greece and Turkey resist Communism.
March 	13 	In 1868, the impeachment trial of President Andrew Johnson began in the United States Senate.
March 	14 	In 1900, Congress ratified the Gold Standard Act.
March 	15 	In 1965, addressing a joint session of Congress, President Johnson called for new legislation to guarantee every American’s right to vote.
March 	16 	In 1968, during the Vietnam War, the My Lai Massacre was carried out by United States troops under the command of Lt. William L. Calley Jr.
March 	17 	In 1942, Gen. Douglas MacArthur arrived in Australia to become supreme commander of Allied forces in the southwest Pacific theater during World War II.
March 	18 	In 1965, the first spacewalk took place as Soviet cosmonaut Aleksei Leonov left his Voskhod 2 capsule and remained outside the spacecraft for 20 minutes, secured by a tether.
March 	19 	In 2003, President George W. Bush ordered the start of the war on Iraq, declaring: “On my orders, coalition forces have begun striking selected targets of military importance to undermine Saddam Hussein’s ability to wage war.”
March 	20 	In 1995, in Tokyo, 12 people were killed, more than 5,500 others sickened when packages containing the poisonous gas sarin leaked on five separate subway trains.
March 	21 	In 1965, more than 3,000 civil rights demonstrators led by the Rev. Martin Luther King Jr. began their march from Selma to Montgomery, Ala.
March 	22 	In 1972, Congress sent the proposed Equal Rights Amendment to the Constitution to the states for ratification. It fell short of the three-fourths approval needed.
March 	23 	In 2010, President Barack Obama signed into law the Affordable Care Act, the most sweeping piece of federal legislation since Medicare was passed in 1965.
March 	24 	In 1989, one of the nation’s worst oil spills occurred as the supertanker Exxon Valdez ran aground on a reef in Alaska’s Prince William Sound and began leaking 11 million gallons of crude.
March 	25 	In 1965, the Rev. Martin Luther King Jr. led 25,000 marchers to the state capitol in Montgomery, Ala., to protest the denial of voting rights to blacks.
March 	26 	In 1979, the Camp David peace treaty was signed by Israeli Prime Minister Menachem Begin and Egyptian President Anwar Sadat at the White House.
March 	27 	In 1958, Nikita Khrushchev became Soviet premier in addition to First Secretary of the Communist Party.
March 	28 	In 1979, America’s worst commercial nuclear accident occurred inside the Unit Two reactor at the Three Mile Island plant near Middletown, Pa.
March 	29 	In 1973, the last United States troops left South Vietnam, ending America’s direct military involvement in the Vietnam War.
March 	30 	In 1981, President Reagan was shot and seriously injured outside a Washington, D.C., hotel by John W. Hinckley Jr. Also wounded were White House news secretary James Brady, a Secret Service agent and a District of Columbia police officer.
March 	31 	In 1968, President Johnson stunned the country by announcing he would not run for another term of office.
April
April 	1 	In 1945, American forces invaded Okinawa during World War II.
April 	2 	In 1917, President Woodrow Wilson asked Congress to declare war against Germany, saying, “The world must be made safe for democracy.”
April 	3 	In 1948, President Truman signed the Marshall Plan, which allocated more than $5 billion in aid for 16 European countries.
April 	4 	In 1968, civil rights leader Martin Luther King Jr., 39, was shot to death in Memphis, Tenn.
April 	5 	In 1951, Julius and Ethel Rosenberg were sentenced to death for conspiring to commit espionage for the Soviet Union.
April 	6 	In 1909, explorers Robert E. Peary and Matthew A. Henson became the first men to reach the North Pole. The claim, disputed by skeptics, was upheld in 1989 by the Navigation Foundation.
April 	7 	In 1862, Union forces led by Gen. Ulysses S. Grant defeated the Confederates at the battle of Shiloh in Tennessee.
April 	8 	In 1994, Western nations prepare evacuation efforts as Hutu extremists in Rwanda conduct a genocidal massacre that kills hundreds of thousands of ethnic Tutsis.
April 	9 	In 1865, Confederate Gen. Robert E. Lee surrendered his army to Union Gen. Ulysses S. Grant at Appomattox Court House in Virginia.
April 	10 	In 1947, Brooklyn Dodgers president Branch Rickey announced he had purchased the contract of Jackie Robinson from the Montreal Royals.
April 	11 	In 1951, President Truman relieved Gen. Douglas MacArthur of his commands in the Far East.
April 	12 	In 1945, Franklin D. Roosevelt, the 32nd president of the United States, died of a cerebral hemorrhage in Warm Springs, Ga., at age 63. Vice President Harry S. Truman became president.
April 	13 	In 1970, Apollo 13, four-fifths of the way to the moon, was crippled when a tank containing liquid oxygen burst. (The astronauts managed to return safely.)
April 	14 	In 1865, President Lincoln was shot and mortally wounded by John Wilkes Booth while attending the comedy “Our American Cousin” at Ford’s Theater in Washington, D.C. He died the next day.
April 	15 	In 1912, the British luxury liner Titanic sank in the North Atlantic off Newfoundland, less than three hours after striking an iceberg. About 1,500 people died.
April 	16 	In 1947, America’s worst harbor explosion occurred in Texas City, Texas, when the French ship Grandcamp, carrying ammonium nitrate fertilizer, caught fire and blew up, devastating the town. Another ship, the Highflyer, exploded the following day. The explosions and resulting fires killed more than 500 people and left 200 others missing.
April 	17 	In 1961, about 1,500 CIA-trained Cuban exiles launched the disastrous Bay of Pigs invasion of Cuba in a failed attempt to overthrow the government of Fidel Castro.
April 	18 	In 1906, a devastating earthquake struck San Francisco, followed by raging fires. About 700 people died.
April 	19 	In 1995, a truck bomb exploded outside the Alfred P. Murrah Federal Building in Oklahoma City, killing 168 people, and injuring 500. Timothy McVeigh was convicted of the bombing and sentenced to death.
April 	20 	In 1999, two young men stormed into a suburban high school in Littleton, Colo., at lunch time with guns and explosives, killing 13 and wounding dozens more in what was at the time the nation’s deadliest school massacre.
April 	21 	In 1910, author Samuel Langhorne Clemens, better known as Mark Twain, died in Redding, Conn.
April 	22 	In 1889, the Oklahoma Land Rush began at noon as thousands of homesteaders staked claims.
April 	23 	In 1968, 300 Columbia students barricaded the office of the college dean, charging the university with supporting the Vietnam War and violating Harlem residents’ civil rights.
April 	24 	In 1898, Spain declared war on the United States after rejecting America’s ultimatum to withdraw from Cuba.
April 	25 	In 1945, during World War II, United States and Soviet forces linked up on the Elbe River, in central Europe, a meeting that dramatized the collapse of Nazi Germany.
April 	26 	In 1986, the world’s worst nuclear accident occurred at the Chernobyl plant in the Soviet Union. An explosion and fire in the No. 4 reactor sent radioactivity into the atmosphere; at least 31 Soviets died immediately.
April 	27 	In 1947, “Babe Ruth Day” at Yankee Stadium was held to honor the ailing baseball star.
April 	28 	In 1947, a six-man expedition sailed from Peru aboard a balsa wood raft named the Kon-Tiki on a 101-day journey across the Pacific Ocean to Polynesia.
April 	29 	In 1992, deadly rioting that claimed 54 lives and caused $1 billion in damage erupted in Los Angeles after a jury in Simi Valley acquitted four Los Angeles police officers of almost all state charges in the videotaped beating of Rodney King.
April 	30 	In 1975, the South Vietnamese capital of Saigon fell to Communist forces.
May
May 	1 	In 2011, President Barack Obama announced that Osama Bin Laden, the mastermind of the September 11 attacks, was killed by United States forces in Pakistan.
May 	2 	In 1945, the Soviet Union announced the fall of Berlin and the Allies announced the surrender of Nazi troops in Italy and parts of Austria.
May 	3 	In 1971, anti-war protesters calling themselves the Mayday Tribe began four days of demonstrations in Washington, D.C., aimed at shutting down the nation’s capital.
May 	4 	In 1970, Ohio National Guardsmen opened fire on anti-war protesters at Kent State University, killing four students and wounding nine others.
May 	5 	In 1961, astronaut Alan B. Shepard Jr. became America’s first space traveler as he made a 15-minute suborbital flight in a capsule launched from Cape Canaveral, Fla.
May 	6 	In 1937, the hydrogen-filled German dirigible Hindenburg burned and crashed in Lakehurst, N.J., killing 36 of the 97 people on board.
May 	7 	In 1945, Germany signed an unconditional surrender at Allied headquarters in Rheims, France, to take effect the following day, ending the European conflict of World War II.
May 	8 	In 1973, militant American Indians who had held the South Dakota hamlet of Wounded Knee for 10 weeks surrendered.
May 	9 	In 1994, South Africa’s newly elected parliament chose Nelson Mandela to be the country’s first black president.
May 	10 	In 1869, a golden spike was driven at Promontory, Utah, marking the completion of the first transcontinental railroad in the United States.
May 	11 	In 1973, charges against Daniel Ellsberg for his role in the Pentagon Papers case were dismissed by Judge William M. Byrne, who cited government misconduct.
May 	12 	In 1943, during World War II, Axis forces in North Africa surrendered.
May 	13 	In 1981, Pope John Paul II was shot and seriously wounded in St. Peter’s Square by Turkish assailant Mehmet Ali Agca.
May 	14 	In 1948, the independent state of Israel was proclaimed as British rule in Palestine came to an end.
May 	15 	In 1911, the Supreme Court ordered the dissolution of Standard Oil Company, ruling it was in violation of the Sherman Antitrust Act.
May 	16 	In 1960, a harsh exchange between Soviet leader Nikita Khrushchev and President Dwight D. Eisenhower doomed a much heralded summit conference between the two nations, following the Soviet downing of an American U-2 reconnaissance plane.
May 	17 	In 1954, the Supreme Court issued its landmark Brown vs. Board of Education of Topeka ruling, which declared that racially segregated public schools were inherently unequal.
May 	18 	In 1980, the Mount St. Helens volcano in Washington state exploded, leaving 57 people dead or missing.
May 	19 	In 1935, T.E. Lawrence, also known as “Lawrence of Arabia,” died in England from injuries sustained in a motorcycle crash.
May 	20 	In 1961, a white mob attacked a busload of “Freedom Riders” in Montgomery, Ala., prompting the federal government to send in United States marshals to restore order.
May 	21 	In 1927, Charles A. Lindbergh landed his “Spirit of St. Louis” near Paris, completing the first solo airplane flight across the Atlantic Ocean.
May 	22 	In 1947, the Truman Doctrine was enacted as Congress appropriated military and economic aid for Greece and Turkey.
May 	23 	In 1934, bank robbers Bonnie Parker and Clyde Barrow were shot to death in a police ambush as they were driving a stolen Ford Deluxe along a road in Bienville Parish, La.
May 	24 	In 1883, the Brooklyn Bridge, linking Brooklyn and Manhattan, was opened to traffic.
May 	25 	In 2006, Kenneth L. Lay and Jeffrey K. Skilling, the chief executives who guided Enron through its spectacular rise and even more stunning fall, were found guilty of fraud and conspiracy.
May 	26 	In 1868, the Senate impeachment trial of President Andrew Johnson ended with his acquittal as the Senate fell one vote short of the two-thirds majority required for conviction.
May 	27 	In 1964, independent India’s first prime minister, Jawaharlal Nehru, died.
May 	28 	In 1984, President Reagan led a state funeral at Arlington National Cemetery for an unidentified American soldier killed in the Vietnam War.
May 	29 	In 1953, Mount Everest was conquered as Edmund Hillary of New Zealand, left, and Tensing Norgay of Nepal became the first climbers to reach the summit.
May 	30 	In 1958, unidentified soldiers killed in World War II and the Korean conflict were buried at Arlington National Cemetery.
May 	31 	In 1889, more than 2,000 people perished when a dam break sent water rushing through Johnstown, Pa.


June
June 	1 	In 1968, author-lecturer Helen Keller, who earned a college degree despite being blind and deaf most of her life, died in Westport, Conn.
June 	2 	In 1953, Queen Elizabeth II of Britain was crowned in Westminster Abbey, 16 months after the death of her father, King George VI.
June 	3 	In 1965, astronaut Edward White became the first American to “walk” in space, during the flight of Gemini 4.
June 	4 	In 1989, Chinese army troops stormed Tiananmen Square in Beijing to crush the pro-democracy movement; hundreds – possibly thousands – of people died.
June 	5 	In 1968, Sen. Robert F. Kennedy was shot and mortally wounded just after claiming victory in California’s Democratic presidential primary. Gunman Sirhan Bishara Sirhan was immediately arrested.
June 	6 	In 1944, the D-Day invasion of Europe took place during World War II as Allied forces stormed the beaches of Normandy, France.
June 	7 	In 1929, the sovereign state of Vatican City came into existence as copies of the Lateran Treaty were exchanged in Rome.
June 	8 	In 1968, authorities announced the capture in London of James Earl Ray, the suspected assassin of civil rights leader Martin Luther King Jr.
June 	9 	In 1954, Army counsel Joseph N. Welch confronted Sen. Joseph R. McCarthy during the Senate-Army Hearings over McCarthy’s attack on a member of Welch’s law firm, Frederick G. Fisher. Said Welch: “Have you no sense of decency, sir? At long last, have you left no sense of decency?”
June 	10 	In 1967, the Six-Day War ended as Israel and Syria agreed to observe a United Nations-mediated cease-fire.
June 	11 	In 1942, the United States and the Soviet Union signed a lend lease agreement to aid the Soviet war effort in World War II.
June 	12 	In 1987, President Reagan, during a visit to the divided German city of Berlin, publicly challenged Soviet leader Mikhail S. Gorbachev to “tear down this wall.”
June 	13 	In 1966, the Supreme Court issued its landmark Miranda vs. Arizona decision, ruling that criminal suspects must be informed of their constitutional rights prior to questioning by police.
June 	14 	In 1982, Argentine forces surrendered to British troops on the disputed Falkland Islands.
June 	15 	In 1904, more than 1,000 people died when fire erupted aboard the steamboat General Slocum in New York City’s East River.
June 	16 	In 1933, President Roosevelt opened his New Deal recovery program, signing bank, rail, and industry bills and initiating farm aid.
June 	17 	In 1994, the police charged O. J. Simpson with murdering his former wife and a friend of hers, and then pursued him for about 50 miles along Southern California highways before he finally surrendered outside his home.
June 	18 	In 1948, the United Nations Commission on Human Rights adopted its International Declaration of Human Rights.
June 	19 	In 1964, the Civil Rights Act of 1964 was approved after surviving an 83-day filibuster in the United States Senate.
June 	20 	In 1967, boxer Muhammad Ali was convicted in Houston of violating Selective Service laws by refusing to be drafted. The conviction was later overturned by the Supreme Court.
June 	21 	In 1964, three civil rights workers disappeared in Philadelphia, Miss. Their bodies were found buried in an earthen dam six weeks later. Eight members of the Ku Klux Klan went to prison on federal conspiracy charges; none served more than six years.
June 	22 	In 1940, during World War II, Adolf Hitler gained a stunning victory as France was forced to sign an armistice eight days after German forces overran Paris.
June 	23 	In 1947, the Senate joined the House in overriding President Truman’s veto of the Taft-Hartley Act.
June 	24 	In 1997, the Air Force released a report on the so-called “Roswell Incident,” suggesting the alien bodies witnesses reported seeing in 1947 were actually life-sized dummies.
June 	25 	In 1876, Lt. Col. George A. Custer and his 7th Cavalry were wiped out by Sioux and Cheyenne Indians in the Battle of Little Big Horn in Montana.
June 	26 	In 2013, the Supreme Court ruled that married same-sex couples were entitled to federal benefits and that same-sex marriages were allowed in California in a pair of major victories for the gay rights movement.
June 	27 	In 1950, President Truman ordered the Air Force and Navy into the Korean War following a call from the United Nations Security Council for member nations to help South Korea repel an invasion from the North.
June 	28 	In 1919, the Treaty of Versailles was signed in France, ending World War I.
June 	29 	In 1995, the shuttle Atlantis and the Russian space station Mir docked, forming the largest man-made satellite ever to orbit the Earth.
June 	30 	In 1971, the Supreme Court, in a 6-3 decision, freed The New York Times and The Washington Post to resume immediate publication of articles based on the secret Pentagon Papers on the origins of the Vietnam War.
July
July 	1 	In 1997, Hong Kong reverted to Chinese rule after 156 years as a British colony.
July 	2 	In 1937, aviator Amelia Earhart and navigator Fred Noonan disappeared over the Pacific Ocean while attempting to make the first round-the-world flight at the equator.
July 	3 	In 1863, the Civil War’s Battle of Gettysburg in Pennsylvania ended after three days in a major victory for the North as Confederate troops retreated.
July 	4 	In 1976, the United States celebrated its Bicentential. In 1776, the Continental Congress adopted the Declaration of Independence.
July 	5 	In 1975, Arthur Ashe became the first black man to win a Wimbledon singles title as he defeated Jimmy Connors.
July 	6 	In 1957, Althea Gibson became the first black tennis player to win a Wimbledon singles title, defeating fellow American Darlene Hard 6-3, 6-2.
July 	7 	In 1981, President Reagan announced he was nominating Arizona Judge Sandra Day O’Connor to become the first female justice on the United States Supreme Court.
July 	8 	In 1950, Gen. Douglas MacArthur was named commander-in-chief of United Nations forces in Korea.
July 	9 	In 1896, William Jennings Bryan caused a sensation at the Democratic National Convention in Chicago with his “cross of gold” speech denouncing supporters of the gold standard. Bryan went on to win the party’s nomination.
July 	10 	In 1940, during World War II, the 114-day Battle of Britain began as Nazi forces began attacking southern England by air. By late October, Britain managed to repel the Luftwaffe, which suffered heavy losses.
July 	11 	In 1979, the abandoned United States space station Skylab made a spectacular return to Earth, burning up in the atmosphere and showering debris over the Indian Ocean and Australia.
July 	12 	In 1984, Democratic presidential candidate Walter F. Mondale announced he had chosen U.S. Rep. Geraldine A. Ferraro of New York to be his running mate; Ferraro was the first woman to run for vice president on a major party ticket.
July 	13 	In 1977, a 25-hour blackout hit the New York City area after lightning struck upstate power lines.
July 	14 	In 1965, the American space probe Mariner 4 flew by Mars, sending back photographs of the planet.
July 	15 	In 1918, the Second Battle of the Marne began during World War I.
July 	16 	In 1918, Russia’s Czar Nicholas II, his empress and their five children were executed by the Bolsheviks.
July 	17 	In 1975, an Apollo spaceship docked with a Soyuz spacecraft in orbit in the first superpower linkup of its kind.
July 	18 	In 1936, the Spanish Civil War began as Gen. Francisco Franco led an uprising of army troops based in Spanish North Africa.
July 	19 	In 1979, Sandinista rebels took control of Managua following the flight of President Anastasio Somoza Debayle, completing the defeat of the National Guard and ending the civil war in Nicaragua.
July 	20 	In 1969, Apollo 11 astronaut Neil Armstrong became the first man to walk on the moon when he stepped out of the lunar module.
July 	21 	In 1925, the so-called “Monkey Trial” ended in Dayton, Tenn., with John T. Scopes convicted of violating state law for teaching Darwin’s theory of evolution. The conviction was later overturned.
July 	22 	In 1934, a man identified as bank robber John Dillinger was shot to death by federal agents outside Chicago’s Biograph Theater.
July 	23 	In 1914, Austria-Hungary issued an ultimatum to Serbia following the killing of Archduke Francis Ferdinand by a Serb assassin; the dispute led to World War I.
July 	24 	In 1959, during a visit to the Soviet Union, Vice President Richard M. Nixon got into a “kitchen debate” with Soviet leader Nikita Khrushchev at a United States exhibition.
July 	25 	In 1943, King Victor Emmanuel announced to Italy that he had accepted the “resignations” of Premier Benito Mussolini and his entire cabinet, leading to the end of Italy’s alliance with Nazi Germany in World War II.
July 	26 	In 1947, President Truman signed the National Security Act, creating the Department of Defense, the National Security Council, the Central Intelligence Agency and the Joint Chiefs of Staff.
July 	27 	In 1953, the Korean War armistice was signed at Panmunjom, ending three years of fighting.
July 	28 	In 1914, Austria-Hungary declared war on Serbia. World War I began as declarations of war by other European nations quickly followed.
July 	29 	In 1981, Britain’s Prince Charles married Lady Diana Spencer at St. Paul’s Cathedral in London.
July 	30 	In 1945, the USS Indianapolis, which had just delivered key components of the Hiroshima atomic bomb to the Pacific island of Tinian, was torpedoed by a Japanese submarine. Only 316 out of 1,196 men survived the sinking and shark-infested waters.
July 	31 	In 1964, the American space probe Ranger 7 transmitted pictures of the moon’s surface.
August
August 	1 	In 1936, the Olympic games opened in Berlin with a ceremony presided over by Adolf Hitler.
August 	2 	In 1923, the 29th president of the United States, Warren G. Harding, died in San Francisco. Calvin Coolidge took the oath of office as President of the United States.
August 	3 	In 1958, the nuclear-powered submarine Nautilus became the first vessel to cross the North Pole underwater.
August 	4 	In 1914, Britain declared war on Germany while the United States proclaimed its neutrality.
August 	5 	In 1963, the United States, Britain and the Soviet Union signed a treaty in Moscow banning nuclear tests in the atmosphere, space and underwater.
August 	6 	In 1945, the United States dropped an atomic bomb on Hiroshima, Japan, during World War II, killing an estimated 140,000 people in the first use of a nuclear weapon in warfare.
August 	7 	In 1964, Congress passed the Gulf of Tonkin resolution, giving President Johnson broad powers in dealing with reported North Vietnamese attacks on United States forces.
August 	8 	In 1974, President Nixon announced he would resign following damaging revelations in the Watergate scandal.
August 	9 	In 1945, three days after the atomic bombing of Hiroshima, Japan, the United States exploded a nuclear device over Nagasaki, killing an estimated 74,000 people.
August 	10 	In 1977, postal employee David Berkowitz was arrested in Yonkers, N.Y., accused of being the “Son of Sam” gunman responsible for six random slayings and seven woundings. Berkowitz is serving six consecutive terms of 25 years to life in state prison.
August 	11 	In 1965, rioting and looting broke out in the predominantly black Watts section of Los Angeles. In the week that followed, 34 people were killed and more than 1,000 injured.
August 	12 	In 1898, the peace protocol ending the Spanish-American War was signed.
August 	13 	In 1961, Berlin was divided as East Germany sealed off the border between the city’s eastern and western sectors in order to halt the flight of refugees. Two days later, work began on the Berlin Wall.
August 	14 	In 1945, President Truman announced that Japan had surrendered unconditionally, ending World War II.
August 	15 	In 1947, India and Pakistan became independent after some 200 years of British rule.
August 	16 	In 1977, Elvis Presley died at Graceland Mansion in Memphis, Tenn., at age 42.
August 	17 	In 1969, the Woodstock Music and Art Fair concluded near Bethel, N.Y.
August 	18 	In 1963, James Meredith became the first black to graduate from the University of Mississippi.
August 	19 	In 1934, a plebiscite in Germany approved the vesting of sole executive power in Adolf Hitler as Fuhrer.
August 	20 	In 1968, the Soviet Union and other Warsaw Pact nations invaded Czechoslovakia to crush the “Prague Spring” liberalization drive of Alexander Dubcek’s regime.
August 	21 	In 1959, President Eisenhower signed an executive order proclaiming Hawaii the 50th state of the union.
August 	22 	In 1902, President Theodore Roosevelt became the first United States chief executive to ride in an automobile.
